#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -3.808563e+00     -3.808563e+00      0.000000e+00
           2     -3.808797e+00     -3.808680e+00      8.284791e-05
           3     -3.809465e+00     -3.808942e+00      2.206898e-04
           4     -3.809680e+00     -3.809126e+00      2.300999e-04
           5     -3.809454e+00     -3.809192e+00      1.931613e-04
           6     -3.809924e+00     -3.809314e+00      1.957557e-04
           7     -3.810176e+00     -3.809437e+00      2.028583e-04
           8     -3.810559e+00     -3.809577e+00      2.207170e-04
           9     -3.810220e+00     -3.809649e+00      2.074299e-04
          10     -3.810378e+00     -3.809722e+00      1.990815e-04
          11     -3.810038e+00     -3.809750e+00      1.830428e-04
          12     -3.810045e+00     -3.809775e+00      1.694270e-04
          13     -3.810732e+00     -3.809849e+00      1.716420e-04
          14     -3.810800e+00     -3.809916e+00      1.723104e-04
          15     -3.810105e+00     -3.809929e+00      1.612812e-04
          16     -3.810304e+00     -3.809952e+00      1.528936e-04
          17     -3.810883e+00     -3.810007e+00      1.533756e-04
          18     -3.811131e+00     -3.810070e+00      1.570546e-04
          19     -3.811212e+00     -3.810130e+00      1.598816e-04
          20     -3.810938e+00     -3.810170e+00      1.569175e-04
