# DISTANCE:     AVE_GOFR:        ERROR:
0.000000e+00      0.000000e+00      0.000000e+00
2.564964e-02      0.000000e+00      0.000000e+00
5.129928e-02      0.000000e+00      0.000000e+00
7.694892e-02      0.000000e+00      0.000000e+00
1.025986e-01      0.000000e+00      0.000000e+00
1.282482e-01      0.000000e+00      0.000000e+00
1.538978e-01      0.000000e+00      0.000000e+00
1.795475e-01      0.000000e+00      0.000000e+00
2.051971e-01      0.000000e+00      0.000000e+00
2.308468e-01      0.000000e+00      0.000000e+00
2.564964e-01      0.000000e+00      0.000000e+00
2.821460e-01      0.000000e+00      0.000000e+00
3.077957e-01      0.000000e+00      0.000000e+00
3.334453e-01      0.000000e+00      0.000000e+00
3.590949e-01      0.000000e+00      0.000000e+00
3.847446e-01      0.000000e+00      0.000000e+00
4.103942e-01      0.000000e+00      0.000000e+00
4.360439e-01      0.000000e+00      0.000000e+00
4.616935e-01      0.000000e+00      0.000000e+00
4.873431e-01      0.000000e+00      0.000000e+00
5.129928e-01      0.000000e+00      0.000000e+00
5.386424e-01      0.000000e+00      0.000000e+00
5.642921e-01      0.000000e+00      0.000000e+00
5.899417e-01      0.000000e+00      0.000000e+00
6.155913e-01      0.000000e+00      0.000000e+00
6.412410e-01      0.000000e+00      0.000000e+00
6.668906e-01      0.000000e+00      0.000000e+00
6.925403e-01      0.000000e+00      0.000000e+00
7.181899e-01      0.000000e+00      0.000000e+00
7.438395e-01      0.000000e+00      0.000000e+00
7.694892e-01      0.000000e+00      0.000000e+00
7.951388e-01      0.000000e+00      0.000000e+00
8.207885e-01      0.000000e+00      0.000000e+00
8.464381e-01      9.726145e-06      4.349664e-06
8.720877e-01      1.228850e-03      6.144078e-05
8.977374e-01      2.390270e-02      3.197494e-04
9.233870e-01      1.639363e-01      7.330537e-04
9.490367e-01      5.601961e-01      2.346436e-03
9.746863e-01      1.198697e+00      3.111643e-03
1.000336e+00      1.859727e+00      3.638555e-03
1.025986e+00      2.338390e+00      2.700698e-03
1.051635e+00      2.552663e+00      2.539614e-03
1.077285e+00      2.551375e+00      2.192767e-03
1.102934e+00      2.410836e+00      2.017379e-03
1.128584e+00      2.203391e+00      2.328158e-03
1.154234e+00      1.975169e+00      2.351246e-03
1.179883e+00      1.755231e+00      2.483867e-03
1.205533e+00      1.558076e+00      2.551735e-03
1.231183e+00      1.386933e+00      2.653946e-03
1.256832e+00      1.245974e+00      2.240759e-03
1.282482e+00      1.121385e+00      1.881689e-03
1.308132e+00      1.021084e+00      1.738945e-03
1.333781e+00      9.388085e-01      1.536291e-03
1.359431e+00      8.709559e-01      1.451851e-03
1.385081e+00      8.173739e-01      1.047010e-03
1.410730e+00      7.730448e-01      1.114872e-03
1.436380e+00      7.379863e-01      1.017164e-03
1.462029e+00      7.115799e-01      1.060745e-03
1.487679e+00      6.928578e-01      9.283232e-04
1.513329e+00      6.783117e-01      1.121501e-03
1.538978e+00      6.729829e-01      1.590374e-03
1.564628e+00      6.724199e-01      1.131523e-03
1.590278e+00      6.761292e-01      1.502370e-03
1.615927e+00      6.862224e-01      1.185936e-03
1.641577e+00      7.023058e-01      1.306930e-03
1.667227e+00      7.225624e-01      1.267242e-03
1.692876e+00      7.492845e-01      1.284027e-03
1.718526e+00      7.799471e-01      1.280439e-03
1.744175e+00      8.151814e-01      1.369451e-03
1.769825e+00      8.531055e-01      1.234585e-03
1.795475e+00      8.940511e-01      1.406187e-03
1.821124e+00      9.361262e-01      1.100473e-03
1.846774e+00      9.780321e-01      1.278575e-03
1.872424e+00      1.018986e+00      1.351821e-03
1.898073e+00      1.058609e+00      1.253791e-03
1.923723e+00      1.095956e+00      1.344139e-03
1.949373e+00      1.131235e+00      1.280410e-03
1.975022e+00      1.162027e+00      1.357916e-03
2.000672e+00      1.186812e+00      1.066367e-03
2.026321e+00      1.203399e+00      8.380762e-04
2.051971e+00      1.213352e+00      1.041234e-03
2.077621e+00      1.217285e+00      1.160078e-03
2.103270e+00      1.208919e+00      1.239280e-03
2.128920e+00      1.194057e+00      9.927427e-04
2.154570e+00      1.175312e+00      1.132497e-03
2.180219e+00      1.150257e+00      1.220444e-03
2.205869e+00      1.123003e+00      1.155433e-03
2.231519e+00      1.094124e+00      1.033898e-03
2.257168e+00      1.066694e+00      1.027180e-03
2.282818e+00      1.037254e+00      9.145759e-04
2.308468e+00      1.012411e+00      8.749524e-04
2.334117e+00      9.883106e-01      7.561919e-04
2.359767e+00      9.659699e-01      9.674969e-04
2.385416e+00      9.457616e-01      7.164583e-04
2.411066e+00      9.321620e-01      7.572497e-04
2.436716e+00      9.182437e-01      8.488451e-04
2.462365e+00      9.086861e-01      7.435040e-04
2.488015e+00      8.953389e-01      1.047808e-03
2.513665e+00      8.849555e-01      8.541318e-04
2.539314e+00      8.855539e-01      8.893454e-04
