#        BLOCK:          R:        ACTUAL_GOFR:          GOFR_AVE:           ERROR: 
           1      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00
           1      2.564964e-02      0.000000e+00      0.000000e+00      0.000000e+00
           1      5.129928e-02      0.000000e+00      0.000000e+00      0.000000e+00
           1      7.694892e-02      0.000000e+00      0.000000e+00      0.000000e+00
           1      1.025986e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      1.282482e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      1.538978e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      1.795475e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      2.051971e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      2.308468e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      2.564964e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      2.821460e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      3.077957e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      3.334453e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      3.590949e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      3.847446e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      4.103942e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      4.360439e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      4.616935e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      4.873431e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      5.129928e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      5.386424e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      5.642921e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      5.899417e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      6.155913e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      6.412410e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      6.668906e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      6.925403e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      7.181899e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      7.438395e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      7.694892e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      7.951388e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      8.207885e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      8.464381e-01      0.000000e+00      0.000000e+00      0.000000e+00
           1      8.720877e-01      1.283873e-03      1.283873e-03      0.000000e+00
           1      8.977374e-01      2.215097e-02      2.215097e-02      0.000000e+00
           1      9.233870e-01      1.622239e-01      1.622239e-01      0.000000e+00
           1      9.490367e-01      5.540330e-01      5.540330e-01      0.000000e+00
           1      9.746863e-01      1.181451e+00      1.181451e+00      0.000000e+00
           1      1.000336e+00      1.861721e+00      1.861721e+00      0.000000e+00
           1      1.025986e+00      2.344761e+00      2.344761e+00      0.000000e+00
           1      1.051635e+00      2.536618e+00      2.536618e+00      0.000000e+00
           1      1.077285e+00      2.541424e+00      2.541424e+00      0.000000e+00
           1      1.102934e+00      2.412153e+00      2.412153e+00      0.000000e+00
           1      1.128584e+00      2.209259e+00      2.209259e+00      0.000000e+00
           1      1.154234e+00      1.961844e+00      1.961844e+00      0.000000e+00
           1      1.179883e+00      1.766594e+00      1.766594e+00      0.000000e+00
           1      1.205533e+00      1.566823e+00      1.566823e+00      0.000000e+00
           1      1.231183e+00      1.401497e+00      1.401497e+00      0.000000e+00
           1      1.256832e+00      1.248863e+00      1.248863e+00      0.000000e+00
           1      1.282482e+00      1.120368e+00      1.120368e+00      0.000000e+00
           1      1.308132e+00      1.029232e+00      1.029232e+00      0.000000e+00
           1      1.333781e+00      9.475277e-01      9.475277e-01      0.000000e+00
           1      1.359431e+00      8.760272e-01      8.760272e-01      0.000000e+00
           1      1.385081e+00      8.162636e-01      8.162636e-01      0.000000e+00
           1      1.410730e+00      7.695197e-01      7.695197e-01      0.000000e+00
           1      1.436380e+00      7.372559e-01      7.372559e-01      0.000000e+00
           1      1.462029e+00      7.150548e-01      7.150548e-01      0.000000e+00
           1      1.487679e+00      6.977714e-01      6.977714e-01      0.000000e+00
           1      1.513329e+00      6.815522e-01      6.815522e-01      0.000000e+00
           1      1.538978e+00      6.845126e-01      6.845126e-01      0.000000e+00
           1      1.564628e+00      6.729387e-01      6.729387e-01      0.000000e+00
           1      1.590278e+00      6.798081e-01      6.798081e-01      0.000000e+00
           1      1.615927e+00      6.841954e-01      6.841954e-01      0.000000e+00
           1      1.641577e+00      7.049752e-01      7.049752e-01      0.000000e+00
           1      1.667227e+00      7.228029e-01      7.228029e-01      0.000000e+00
           1      1.692876e+00      7.417652e-01      7.417652e-01      0.000000e+00
           1      1.718526e+00      7.802280e-01      7.802280e-01      0.000000e+00
           1      1.744175e+00      8.084624e-01      8.084624e-01      0.000000e+00
           1      1.769825e+00      8.444044e-01      8.444044e-01      0.000000e+00
           1      1.795475e+00      8.846619e-01      8.846619e-01      0.000000e+00
           1      1.821124e+00      9.290039e-01      9.290039e-01      0.000000e+00
           1      1.846774e+00      9.701281e-01      9.701281e-01      0.000000e+00
           1      1.872424e+00      1.015167e+00      1.015167e+00      0.000000e+00
           1      1.898073e+00      1.053810e+00      1.053810e+00      0.000000e+00
           1      1.923723e+00      1.083946e+00      1.083946e+00      0.000000e+00
           1      1.949373e+00      1.123254e+00      1.123254e+00      0.000000e+00
           1      1.975022e+00      1.156996e+00      1.156996e+00      0.000000e+00
           1      2.000672e+00      1.187283e+00      1.187283e+00      0.000000e+00
           1      2.026321e+00      1.207503e+00      1.207503e+00      0.000000e+00
           1      2.051971e+00      1.214424e+00      1.214424e+00      0.000000e+00
           1      2.077621e+00      1.218898e+00      1.218898e+00      0.000000e+00
           1      2.103270e+00      1.222009e+00      1.222009e+00      0.000000e+00
           1      2.128920e+00      1.201291e+00      1.201291e+00      0.000000e+00
           1      2.154570e+00      1.185524e+00      1.185524e+00      0.000000e+00
           1      2.180219e+00      1.157996e+00      1.157996e+00      0.000000e+00
           1      2.205869e+00      1.135586e+00      1.135586e+00      0.000000e+00
           1      2.231519e+00      1.095788e+00      1.095788e+00      0.000000e+00
           1      2.257168e+00      1.066684e+00      1.066684e+00      0.000000e+00
           1      2.282818e+00      1.043611e+00      1.043611e+00      0.000000e+00
           1      2.308468e+00      1.011293e+00      1.011293e+00      0.000000e+00
           1      2.334117e+00      9.855084e-01      9.855084e-01      0.000000e+00
           1      2.359767e+00      9.606349e-01      9.606349e-01      0.000000e+00
           1      2.385416e+00      9.446542e-01      9.446542e-01      0.000000e+00
           1      2.411066e+00      9.311329e-01      9.311329e-01      0.000000e+00
           1      2.436716e+00      9.194100e-01      9.194100e-01      0.000000e+00
           1      2.462365e+00      9.095267e-01      9.095267e-01      0.000000e+00
           1      2.488015e+00      8.943272e-01      8.943272e-01      0.000000e+00
           1      2.513665e+00      8.814472e-01      8.814472e-01      0.000000e+00
           1      2.539314e+00      8.870035e-01      8.870035e-01      0.000000e+00
           2      0.000000e+00      0.000000e+00      0.000000e+00      0.000000e+00
           2      2.564964e-02      0.000000e+00      0.000000e+00      0.000000e+00
           2      5.129928e-02      0.000000e+00      0.000000e+00      0.000000e+00
           2      7.694892e-02      0.000000e+00      0.000000e+00      0.000000e+00
           2      1.025986e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      1.282482e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      1.538978e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      1.795475e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      2.051971e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      2.308468e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      2.564964e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      2.821460e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      3.077957e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      3.334453e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      3.590949e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      3.847446e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      4.103942e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      4.360439e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      4.616935e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      4.873431e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      5.129928e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      5.386424e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      5.642921e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      5.899417e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      6.155913e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      6.412410e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      6.668906e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      6.925403e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      7.181899e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      7.438395e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      7.694892e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      7.951388e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      8.207885e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      8.464381e-01      0.000000e+00      0.000000e+00      0.000000e+00
           2      8.720877e-01      9.858310e-04      1.134852e-03      1.053737e-04
           2      8.977374e-01      2.353676e-02      2.284387e-02      4.899505e-04
           2      9.233870e-01      1.649072e-01      1.635655e-01      9.486719e-04
           2      9.490367e-01      5.616980e-01      5.578655e-01      2.709982e-03
           2      9.746863e-01      1.191669e+00      1.186560e+00      3.612474e-03
           2      1.000336e+00      1.853413e+00      1.857567e+00      2.937202e-03
           2      1.025986e+00      2.332749e+00      2.338755e+00      4.246809e-03
           2      1.051635e+00      2.545348e+00      2.540983e+00      3.086683e-03
           2      1.077285e+00      2.534716e+00      2.538070e+00      2.371607e-03
           2      1.102934e+00      2.410221e+00      2.411187e+00      6.832266e-04
           2      1.128584e+00      2.206062e+00      2.207660e+00      1.130335e-03
           2      1.154234e+00      1.970900e+00      1.966372e+00      3.201652e-03
           2      1.179883e+00      1.761268e+00      1.763931e+00      1.882987e-03
           2      1.205533e+00      1.558369e+00      1.562596e+00      2.989039e-03
           2      1.231183e+00      1.386485e+00      1.393991e+00      5.307537e-03
           2      1.256832e+00      1.254521e+00      1.251692e+00      2.000305e-03
           2      1.282482e+00      1.125975e+00      1.123171e+00      1.982403e-03
           2      1.308132e+00      1.021433e+00      1.025333e+00      2.757393e-03
           2      1.333781e+00      9.411812e-01      9.443544e-01      2.243799e-03
           2      1.359431e+00      8.765134e-01      8.762703e-01      1.719126e-04
           2      1.385081e+00      8.183400e-01      8.173018e-01      7.341095e-04
           2      1.410730e+00      7.784588e-01      7.739892e-01      3.160466e-03
           2      1.436380e+00      7.407095e-01      7.389827e-01      1.221042e-03
           2      1.462029e+00      7.178198e-01      7.164373e-01      9.775878e-04
           2      1.487679e+00      6.852601e-01      6.915158e-01      4.423421e-03
           2      1.513329e+00      6.787002e-01      6.801262e-01      1.008359e-03
           2      1.538978e+00      6.756702e-01      6.800914e-01      3.126235e-03
           2      1.564628e+00      6.696341e-01      6.712864e-01      1.168324e-03
           2      1.590278e+00      6.812332e-01      6.805207e-01      5.038700e-04
           2      1.615927e+00      6.890208e-01      6.866081e-01      1.706046e-03
           2      1.641577e+00      6.985862e-01      7.017807e-01      2.258856e-03
           2      1.667227e+00      7.252136e-01      7.240083e-01      8.523261e-04
