#        BLOCK:    ACTUAL_PE:          PE_AVE:           ERROR: 
           1     -5.474424e+00     -5.474424e+00      0.000000e+00
           2     -5.466411e+00     -5.470417e+00      2.832966e-03
           3     -5.463670e+00     -5.468168e+00      2.634259e-03
           4     -5.438359e+00     -5.460716e+00      6.749527e-03
           5     -5.461914e+00     -5.460955e+00      5.403870e-03
           6     -5.451869e+00     -5.459441e+00      4.710637e-03
           7     -5.456570e+00     -5.459031e+00      4.055503e-03
           8     -5.474920e+00     -5.461017e+00      4.005509e-03
           9     -5.469631e+00     -5.461974e+00      3.673013e-03
          10     -5.478643e+00     -5.463641e+00      3.664476e-03
          11     -5.458112e+00     -5.463138e+00      3.365642e-03
          12     -5.457032e+00     -5.462629e+00      3.123410e-03
          13     -5.459806e+00     -5.462412e+00      2.890688e-03
          14     -5.472033e+00     -5.463099e+00      2.764684e-03
          15     -5.470884e+00     -5.463618e+00      2.628631e-03
          16     -5.463789e+00     -5.463629e+00      2.464364e-03
          17     -5.475010e+00     -5.464299e+00      2.408617e-03
          18     -5.471053e+00     -5.464674e+00      2.303849e-03
          19     -5.483041e+00     -5.465641e+00      2.376778e-03
          20     -5.479859e+00     -5.466351e+00      2.361869e-03
