#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1      1.339154e+00      1.339154e+00      0.000000e+00
           2      1.362469e+00      1.350811e+00      8.242885e-03
           3      1.378761e+00      1.360128e+00      9.384306e-03
           4      1.530135e+00      1.402630e+00      3.747436e-02
           5      1.412236e+00      1.404551e+00      3.002870e-02
           6      1.457727e+00      1.413414e+00      2.629927e-02
           7      1.434622e+00      1.416443e+00      2.271608e-02
           8      1.340966e+00      1.407009e+00      2.174774e-02
           9      1.376647e+00      1.403635e+00      1.959123e-02
          10      1.326747e+00      1.395946e+00      1.908134e-02
          11      1.402946e+00      1.396583e+00      1.735728e-02
          12      1.431960e+00      1.399531e+00      1.615927e-02
          13      1.424047e+00      1.401417e+00      1.502589e-02
          14      1.349793e+00      1.397729e+00      1.439795e-02
          15      1.372924e+00      1.396075e+00      1.353272e-02
          16      1.411294e+00      1.397027e+00      1.272031e-02
          17      1.360163e+00      1.394858e+00      1.215548e-02
          18      1.369902e+00      1.393472e+00      1.155898e-02
          19      1.302859e+00      1.388703e+00      1.189382e-02
          20      1.302027e+00      1.384369e+00      1.206288e-02
