#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      1.100000e+00      1.100000e+00      0.000000e+00
           2      1.100000e+00      1.100000e+00      0.000000e+00
           3      1.100000e+00      1.100000e+00      0.000000e+00
           4      1.100000e+00      1.100000e+00      0.000000e+00
           5      1.100000e+00      1.100000e+00      0.000000e+00
           6      1.100000e+00      1.100000e+00      6.083374e-09
           7      1.100000e+00      1.100000e+00      5.632110e-09
           8      1.100000e+00      1.100000e+00      5.268356e-09
           9      1.100000e+00      1.100000e+00      4.967054e-09
          10      1.100000e+00      1.100000e+00      4.712161e-09
          11      1.100000e+00      1.100000e+00      4.492869e-09
          12      1.100000e+00      1.100000e+00      4.301595e-09
          13      1.100000e+00      1.100000e+00      4.132839e-09
          14      1.100000e+00      1.100000e+00      3.982503e-09
          15      1.100000e+00      1.100000e+00      5.441135e-09
          16      1.100000e+00      1.100000e+00      5.268356e-09
          17      1.100000e+00      1.100000e+00      5.111056e-09
          18      1.100000e+00      1.100000e+00      6.083374e-09
          19      1.100000e+00      1.100000e+00      5.921121e-09
          20      1.100000e+00      1.100000e+00      5.771195e-09
