#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -3.824424e+00     -3.824424e+00      0.000000e+00
           2     -3.816411e+00     -3.820417e+00      2.832966e-03
           3     -3.813670e+00     -3.818168e+00      2.634259e-03
           4     -3.788359e+00     -3.810716e+00      6.749527e-03
           5     -3.811914e+00     -3.810955e+00      5.403870e-03
           6     -3.801869e+00     -3.809441e+00      4.710637e-03
           7     -3.806570e+00     -3.809031e+00      4.055503e-03
           8     -3.824920e+00     -3.811017e+00      4.005509e-03
           9     -3.819631e+00     -3.811974e+00      3.673013e-03
          10     -3.828643e+00     -3.813641e+00      3.664476e-03
          11     -3.808112e+00     -3.813138e+00      3.365642e-03
          12     -3.807032e+00     -3.812629e+00      3.123410e-03
          13     -3.809806e+00     -3.812412e+00      2.890688e-03
          14     -3.822033e+00     -3.813099e+00      2.764684e-03
          15     -3.820884e+00     -3.813618e+00      2.628631e-03
          16     -3.813789e+00     -3.813629e+00      2.464364e-03
          17     -3.825010e+00     -3.814299e+00      2.408617e-03
          18     -3.821053e+00     -3.814674e+00      2.303849e-03
          19     -3.833041e+00     -3.815641e+00      2.376778e-03
          20     -3.829859e+00     -3.816351e+00      2.361869e-03
