# DISTANCE:     AVE_GOFR:        ERROR:
0.000000e+00      0.000000e+00      0.000000e+00
2.306643e-02      0.000000e+00      0.000000e+00
4.613286e-02      0.000000e+00      0.000000e+00
6.919929e-02      0.000000e+00      0.000000e+00
9.226572e-02      0.000000e+00      0.000000e+00
1.153321e-01      0.000000e+00      0.000000e+00
1.383986e-01      0.000000e+00      0.000000e+00
1.614650e-01      0.000000e+00      0.000000e+00
1.845314e-01      0.000000e+00      0.000000e+00
2.075979e-01      0.000000e+00      0.000000e+00
2.306643e-01      0.000000e+00      0.000000e+00
2.537307e-01      0.000000e+00      0.000000e+00
2.767971e-01      0.000000e+00      0.000000e+00
2.998636e-01      0.000000e+00      0.000000e+00
3.229300e-01      0.000000e+00      0.000000e+00
3.459964e-01      0.000000e+00      0.000000e+00
3.690629e-01      0.000000e+00      0.000000e+00
3.921293e-01      0.000000e+00      0.000000e+00
4.151957e-01      0.000000e+00      0.000000e+00
4.382621e-01      0.000000e+00      0.000000e+00
4.613286e-01      0.000000e+00      0.000000e+00
4.843950e-01      0.000000e+00      0.000000e+00
5.074614e-01      0.000000e+00      0.000000e+00
5.305279e-01      0.000000e+00      0.000000e+00
5.535943e-01      0.000000e+00      0.000000e+00
5.766607e-01      0.000000e+00      0.000000e+00
5.997271e-01      0.000000e+00      0.000000e+00
6.227936e-01      0.000000e+00      0.000000e+00
6.458600e-01      0.000000e+00      0.000000e+00
6.689264e-01      0.000000e+00      0.000000e+00
6.919929e-01      0.000000e+00      0.000000e+00
7.150593e-01      0.000000e+00      0.000000e+00
7.381257e-01      0.000000e+00      0.000000e+00
7.611922e-01      0.000000e+00      0.000000e+00
7.842586e-01      0.000000e+00      0.000000e+00
8.073250e-01      0.000000e+00      0.000000e+00
8.303914e-01      0.000000e+00      0.000000e+00
8.534579e-01      0.000000e+00      0.000000e+00
8.765243e-01      9.205063e-05      1.850195e-05
8.995907e-01      3.861751e-03      1.070857e-04
9.226572e-01      5.250084e-02      3.810544e-04
9.457236e-01      3.187267e-01      8.821147e-04
9.687900e-01      1.051617e+00      1.543875e-03
9.918564e-01      2.289169e+00      2.587470e-03
1.014923e+00      3.637917e+00      4.383004e-03
1.037989e+00      4.588268e+00      3.716179e-03
1.061056e+00      4.823837e+00      3.813246e-03
1.084122e+00      4.416364e+00      4.137060e-03
1.107189e+00      3.611498e+00      3.815647e-03
1.130255e+00      2.682062e+00      3.278097e-03
1.153321e+00      1.826977e+00      2.465703e-03
1.176388e+00      1.154870e+00      1.887340e-03
1.199454e+00      6.765760e-01      1.723519e-03
1.222521e+00      3.713727e-01      1.167493e-03
1.245587e+00      1.915236e-01      9.501809e-04
1.268654e+00      9.634876e-02      8.155302e-04
1.291720e+00      5.410230e-02      5.926341e-04
1.314786e+00      4.630321e-02      6.525739e-04
1.337853e+00      6.585469e-02      8.126158e-04
1.360919e+00      1.131108e-01      1.042704e-03
1.383986e+00      1.926316e-01      1.165007e-03
1.407052e+00      3.089228e-01      1.384865e-03
1.430119e+00      4.609518e-01      7.054608e-04
1.453185e+00      6.291226e-01      8.144026e-04
1.476251e+00      7.871848e-01      1.260217e-03
1.499318e+00      9.045086e-01      2.305098e-03
1.522384e+00      9.506440e-01      2.092491e-03
1.545451e+00      9.131130e-01      2.245101e-03
1.568517e+00      8.000532e-01      1.646632e-03
1.591584e+00      6.395027e-01      1.064884e-03
1.614650e+00      4.700671e-01      6.292963e-04
1.637716e+00      3.238436e-01      1.032696e-03
1.660783e+00      2.310070e-01      1.029595e-03
1.683849e+00      2.061259e-01      1.149407e-03
1.706916e+00      2.716607e-01      1.229193e-03
1.729982e+00      4.550921e-01      1.363810e-03
1.753049e+00      7.725948e-01      1.576719e-03
1.776115e+00      1.214500e+00      1.396186e-03
1.799181e+00      1.731362e+00      1.470686e-03
1.822248e+00      2.218940e+00      1.839417e-03
1.845314e+00      2.559432e+00      2.339799e-03
1.868381e+00      2.670788e+00      2.610033e-03
1.891447e+00      2.518666e+00      2.693430e-03
1.914514e+00      2.155059e+00      2.687084e-03
1.937580e+00      1.687762e+00      1.453866e-03
1.960646e+00      1.214319e+00      1.058340e-03
1.983713e+00      8.243920e-01      1.489314e-03
2.006779e+00      5.664826e-01      1.671642e-03
2.029846e+00      4.570226e-01      1.409595e-03
2.052912e+00      4.802268e-01      1.378223e-03
2.075979e+00      5.994000e-01      9.556812e-04
2.099045e+00      7.601804e-01      9.180239e-04
2.122111e+00      9.069983e-01      7.359429e-04
2.145178e+00      9.910092e-01      1.498904e-03
2.168244e+00      9.899077e-01      1.853238e-03
2.191311e+00      9.141025e-01      1.759959e-03
2.214377e+00      7.904053e-01      9.286136e-04
2.237444e+00      6.676256e-01      1.221829e-03
2.260510e+00      5.882378e-01      1.926932e-03
2.283576e+00      5.916164e-01      2.105100e-03
