#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      1.199243e+00      1.199243e+00      0.000000e+00
           2      1.198209e+00      1.198726e+00      3.655334e-04
           3      1.199280e+00      1.198911e+00      2.865895e-04
           4      1.200571e+00      1.199326e+00      4.187213e-04
           5      1.198750e+00      1.199211e+00      3.504678e-04
           6      1.200033e+00      1.199348e+00      3.177394e-04
           7      1.199806e+00      1.199413e+00      2.790138e-04
           8      1.198753e+00      1.199331e+00      2.560524e-04
           9      1.198850e+00      1.199277e+00      2.331119e-04
          10      1.197660e+00      1.199115e+00      2.599057e-04
          11      1.199079e+00      1.199112e+00      2.362988e-04
          12      1.200253e+00      1.199207e+00      2.349625e-04
          13      1.199254e+00      1.199211e+00      2.169163e-04
          14      1.199351e+00      1.199221e+00      2.016540e-04
          15      1.200253e+00      1.199290e+00      1.995982e-04
          16      1.201324e+00      1.199417e+00      2.239767e-04
          17      1.201261e+00      1.199525e+00      2.356253e-04
          18      1.201201e+00      1.199618e+00      2.402197e-04
          19      1.201080e+00      1.199695e+00      2.395782e-04
          20      1.202066e+00      1.199814e+00      2.552323e-04
