#        BLOCK:    ACTUAL_PE:          PE_AVE:           ERROR: 
           1     -7.514931e+00     -7.514931e+00      0.000000e+00
           2     -7.514543e+00     -7.514737e+00      1.373324e-04
           3     -7.514954e+00     -7.514809e+00      1.089939e-04
           4     -7.517151e+00     -7.515395e+00      5.135104e-04
           5     -7.514106e+00     -7.515137e+00      4.710416e-04
           6     -7.515083e+00     -7.515128e+00      3.926201e-04
           7     -7.515246e+00     -7.515145e+00      3.368943e-04
           8     -7.514598e+00     -7.515077e+00      3.016314e-04
           9     -7.514644e+00     -7.515029e+00      2.719146e-04
          10     -7.514744e+00     -7.515000e+00      2.462118e-04
          11     -7.515846e+00     -7.515077e+00      2.355368e-04
          12     -7.516581e+00     -7.515202e+00      2.470171e-04
          13     -7.515025e+00     -7.515189e+00      2.283916e-04
          14     -7.514498e+00     -7.515139e+00      2.173443e-04
          15     -7.513557e+00     -7.515034e+00      2.270284e-04
          16     -7.513839e+00     -7.514959e+00      2.247907e-04
          17     -7.513410e+00     -7.514868e+00      2.293022e-04
          18     -7.513006e+00     -7.514765e+00      2.387696e-04
          19     -7.511866e+00     -7.514612e+00      2.705781e-04
          20     -7.513020e+00     -7.514532e+00      2.685067e-04
