#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1      7.756300e+00      7.756300e+00      0.000000e+00
           2      7.767216e+00      7.761758e+00      3.859424e-03
           3      7.716195e+00      7.746570e+00      1.266495e-02
           4      7.829274e+00      7.767246e+00      2.026934e-02
           5      7.773527e+00      7.768502e+00      1.625434e-02
           6      7.829406e+00      7.778653e+00      1.641151e-02
           7      7.798025e+00      7.781420e+00      1.429843e-02
           8      7.803779e+00      7.784215e+00      1.278134e-02
           9      7.864054e+00      7.793086e+00      1.410768e-02
          10      7.762515e+00      7.790029e+00      1.302394e-02
          11      7.798896e+00      7.790835e+00      1.186486e-02
          12      7.785720e+00      7.790409e+00      1.088378e-02
          13      7.831104e+00      7.793539e+00      1.048709e-02
          14      7.753508e+00      7.790680e+00      1.012033e-02
          15      7.727812e+00      7.786489e+00      1.027693e-02
          16      7.675917e+00      7.779578e+00      1.173025e-02
          17      7.824138e+00      7.782199e+00      1.132931e-02
          18      7.757591e+00      7.780832e+00      1.078208e-02
          19      7.769945e+00      7.780259e+00      1.022981e-02
          20      7.843096e+00      7.783401e+00      1.018938e-02
