#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      7.994954e-01      7.994954e-01      0.000000e+00
           2      7.988061e-01      7.991507e-01      2.436889e-04
           3      7.995202e-01      7.992739e-01      1.910597e-04
           4      8.003804e-01      7.995505e-01      2.791475e-04
           5      7.991665e-01      7.994737e-01      2.336452e-04
           6      8.000221e-01      7.995651e-01      2.118262e-04
           7      7.998707e-01      7.996088e-01      1.860092e-04
           8      7.991686e-01      7.995537e-01      1.707016e-04
           9      7.992331e-01      7.995181e-01      1.554079e-04
          10      7.984401e-01      7.994103e-01      1.732704e-04
          11      7.993861e-01      7.994081e-01      1.575326e-04
          12      8.001688e-01      7.994715e-01      1.566416e-04
          13      7.995029e-01      7.994739e-01      1.446109e-04
          14      7.995675e-01      7.994806e-01      1.344360e-04
          15      8.001685e-01      7.995265e-01      1.330654e-04
          16      8.008824e-01      7.996112e-01      1.493178e-04
          17      8.008410e-01      7.996835e-01      1.570835e-04
          18      8.008006e-01      7.997456e-01      1.601464e-04
          19      8.007200e-01      7.997969e-01      1.597188e-04
          20      8.013770e-01      7.998759e-01      1.701549e-04
