#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -6.315688e+00     -6.315688e+00      0.000000e+00
           2     -6.316334e+00     -6.316011e+00      2.282010e-04
           3     -6.315674e+00     -6.315899e+00      1.776283e-04
           4     -6.316580e+00     -6.316069e+00      1.988449e-04
           5     -6.315357e+00     -6.315927e+00      2.038204e-04
           6     -6.315050e+00     -6.315780e+00      2.159334e-04
           7     -6.315440e+00     -6.315732e+00      1.904762e-04
           8     -6.315846e+00     -6.315746e+00      1.671956e-04
           9     -6.315795e+00     -6.315751e+00      1.487056e-04
          10     -6.317084e+00     -6.315885e+00      1.840729e-04
          11     -6.316767e+00     -6.315965e+00      1.839890e-04
          12     -6.316328e+00     -6.315995e+00      1.711251e-04
          13     -6.315771e+00     -6.315978e+00      1.588290e-04
          14     -6.315147e+00     -6.315919e+00      1.581946e-04
          15     -6.313304e+00     -6.315744e+00      2.239578e-04
          16     -6.312515e+00     -6.315542e+00      2.868238e-04
          17     -6.312148e+00     -6.315343e+00      3.322517e-04
          18     -6.311805e+00     -6.315146e+00      3.673613e-04
          19     -6.310786e+00     -6.314917e+00      4.135320e-04
          20     -6.310954e+00     -6.314719e+00      4.377506e-04
