# DISTANCE:     AVE_GOFR:        ERROR:
0.000000e+00      0.000000e+00      0.000000e+00
2.306643e-02      0.000000e+00      0.000000e+00
4.613286e-02      0.000000e+00      0.000000e+00
6.919929e-02      0.000000e+00      0.000000e+00
9.226572e-02      0.000000e+00      0.000000e+00
1.153321e-01      0.000000e+00      0.000000e+00
1.383986e-01      0.000000e+00      0.000000e+00
1.614650e-01      0.000000e+00      0.000000e+00
1.845314e-01      0.000000e+00      0.000000e+00
2.075979e-01      0.000000e+00      0.000000e+00
2.306643e-01      0.000000e+00      0.000000e+00
2.537307e-01      0.000000e+00      0.000000e+00
2.767971e-01      0.000000e+00      0.000000e+00
2.998636e-01      0.000000e+00      0.000000e+00
3.229300e-01      0.000000e+00      0.000000e+00
3.459964e-01      0.000000e+00      0.000000e+00
3.690629e-01      0.000000e+00      0.000000e+00
3.921293e-01      0.000000e+00      0.000000e+00
4.151957e-01      0.000000e+00      0.000000e+00
4.382621e-01      0.000000e+00      0.000000e+00
4.613286e-01      0.000000e+00      0.000000e+00
4.843950e-01      0.000000e+00      0.000000e+00
5.074614e-01      0.000000e+00      0.000000e+00
5.305279e-01      0.000000e+00      0.000000e+00
5.535943e-01      0.000000e+00      0.000000e+00
5.766607e-01      0.000000e+00      0.000000e+00
5.997271e-01      0.000000e+00      0.000000e+00
6.227936e-01      0.000000e+00      0.000000e+00
6.458600e-01      0.000000e+00      0.000000e+00
6.689264e-01      0.000000e+00      0.000000e+00
6.919929e-01      0.000000e+00      0.000000e+00
7.150593e-01      0.000000e+00      0.000000e+00
7.381257e-01      0.000000e+00      0.000000e+00
7.611922e-01      0.000000e+00      0.000000e+00
7.842586e-01      0.000000e+00      0.000000e+00
8.073250e-01      0.000000e+00      0.000000e+00
8.303914e-01      0.000000e+00      0.000000e+00
8.534579e-01      0.000000e+00      0.000000e+00
8.765243e-01      9.573265e-05      2.006619e-05
8.995907e-01      3.370287e-03      8.825947e-05
9.226572e-01      4.726855e-02      4.899392e-04
9.457236e-01      2.949342e-01      1.721221e-03
9.687900e-01      1.005855e+00      3.226239e-03
9.918564e-01      2.238890e+00      3.667658e-03
1.014923e+00      3.623008e+00      3.171053e-03
1.037989e+00      4.618140e+00      3.232702e-03
1.061056e+00      4.901744e+00      4.917407e-03
1.084122e+00      4.489165e+00      5.043877e-03
1.107189e+00      3.661078e+00      4.690438e-03
1.130255e+00      2.695765e+00      4.323427e-03
1.153321e+00      1.815266e+00      2.231124e-03
1.176388e+00      1.131501e+00      2.066466e-03
1.199454e+00      6.540547e-01      2.283886e-03
1.222521e+00      3.511336e-01      1.870810e-03
1.245587e+00      1.794043e-01      1.446317e-03
1.268654e+00      8.835935e-02      1.033232e-03
1.291720e+00      4.963738e-02      6.582089e-04
1.314786e+00      4.237026e-02      6.235840e-04
1.337853e+00      6.027523e-02      6.213871e-04
1.360919e+00      1.061818e-01      1.016724e-03
1.383986e+00      1.824196e-01      1.149899e-03
1.407052e+00      3.001730e-01      1.240968e-03
1.430119e+00      4.534376e-01      1.138305e-03
1.453185e+00      6.285947e-01      1.018097e-03
1.476251e+00      7.985355e-01      1.362814e-03
1.499318e+00      9.218202e-01      2.196293e-03
1.522384e+00      9.704293e-01      2.418878e-03
1.545451e+00      9.296583e-01      2.540812e-03
1.568517e+00      8.093481e-01      1.399737e-03
1.591584e+00      6.413796e-01      1.106725e-03
1.614650e+00      4.657197e-01      8.137174e-04
1.637716e+00      3.151340e-01      1.085439e-03
1.660783e+00      2.189022e-01      1.281816e-03
1.683849e+00      1.909855e-01      1.595889e-03
1.706916e+00      2.541977e-01      2.048829e-03
1.729982e+00      4.329579e-01      2.353258e-03
1.753049e+00      7.493908e-01      2.265880e-03
1.776115e+00      1.196585e+00      1.602193e-03
1.799181e+00      1.730295e+00      1.132995e-03
1.822248e+00      2.234013e+00      2.251400e-03
1.845314e+00      2.600876e+00      3.282765e-03
1.868381e+00      2.714520e+00      3.945209e-03
1.891447e+00      2.558710e+00      4.120599e-03
1.914514e+00      2.181774e+00      2.859881e-03
1.937580e+00      1.689321e+00      1.634862e-03
1.960646e+00      1.200322e+00      1.624612e-03
1.983713e+00      7.996596e-01      1.805609e-03
2.006779e+00      5.405440e-01      2.167005e-03
2.029846e+00      4.333293e-01      2.486418e-03
2.052912e+00      4.608194e-01      1.968329e-03
2.075979e+00      5.867155e-01      1.374676e-03
2.099045e+00      7.588430e-01      1.142967e-03
2.122111e+00      9.185342e-01      1.181043e-03
2.145178e+00      1.015117e+00      1.940775e-03
2.168244e+00      1.022161e+00      1.853901e-03
2.191311e+00      9.212586e-01      1.388178e-03
2.214377e+00      7.814464e-01      8.799091e-04
2.237444e+00      6.524953e-01      1.229135e-03
2.260510e+00      5.696156e-01      1.816980e-03
2.283576e+00      5.723638e-01      2.438773e-03
