#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      1.200000e+00      1.200000e+00      0.000000e+00
           2      1.200000e+00      1.200000e+00      0.000000e+00
           3      1.200000e+00      1.200000e+00      0.000000e+00
           4      1.200000e+00      1.200000e+00      0.000000e+00
           5      1.200000e+00      1.200000e+00      0.000000e+00
           6      1.200000e+00      1.200000e+00      8.603189e-09
           7      1.200000e+00      1.200000e+00      7.965006e-09
           8      1.200000e+00      1.200000e+00      7.450581e-09
           9      1.200000e+00      1.200000e+00      7.024475e-09
          10      1.200000e+00      1.200000e+00      6.664002e-09
          11      1.200000e+00      1.200000e+00      6.353876e-09
          12      1.200000e+00      1.200000e+00      6.083374e-09
          13      1.200000e+00      1.200000e+00      5.844716e-09
          14      1.200000e+00      1.200000e+00      5.632110e-09
          15      1.200000e+00      1.200000e+00      0.000000e+00
          16      1.200000e+00      1.200000e+00      0.000000e+00
          17      1.200000e+00      1.200000e+00      0.000000e+00
          18      1.200000e+00      1.200000e+00      4.967054e-09
          19      1.200000e+00      1.200000e+00      4.834575e-09
          20      1.200000e+00      1.200000e+00      4.712161e-09
