#        BLOCK:    ACTUAL_PE:          PE_AVE:           ERROR: 
           1     -7.554829e+00     -7.554829e+00      0.000000e+00
           2     -7.540239e+00     -7.547534e+00      5.158507e-03
           3     -7.553364e+00     -7.549477e+00      3.787365e-03
           4     -7.545533e+00     -7.548491e+00      2.966129e-03
           5     -7.565877e+00     -7.551968e+00      3.911874e-03
           6     -7.546286e+00     -7.551021e+00      3.372598e-03
           7     -7.539164e+00     -7.549327e+00      3.288746e-03
           8     -7.541108e+00     -7.548300e+00      3.033909e-03
           9     -7.551081e+00     -7.548609e+00      2.712497e-03
          10     -7.546773e+00     -7.548425e+00      2.447451e-03
          11     -7.538796e+00     -7.547550e+00      2.376364e-03
          12     -7.539925e+00     -7.546914e+00      2.261692e-03
          13     -7.538117e+00     -7.546238e+00      2.186617e-03
          14     -7.546344e+00     -7.546245e+00      2.030444e-03
          15     -7.556977e+00     -7.546961e+00      2.017187e-03
          16     -7.550347e+00     -7.547172e+00      1.902186e-03
          17     -7.523633e+00     -7.545788e+00      2.238223e-03
          18     -7.551611e+00     -7.546111e+00      2.137132e-03
          19     -7.556430e+00     -7.546654e+00      2.092514e-03
          20     -7.547889e+00     -7.546716e+00      1.988798e-03
