#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1      7.549673e+00      7.549673e+00      0.000000e+00
           2      7.629466e+00      7.589570e+00      2.821107e-02
           3      7.558792e+00      7.579310e+00      2.058851e-02
           4      7.600809e+00      7.584685e+00      1.612767e-02
           5      7.487344e+00      7.565217e+00      2.167201e-02
           6      7.593818e+00      7.569984e+00      1.857687e-02
           7      7.635182e+00      7.579298e+00      1.810808e-02
           8      7.624657e+00      7.584968e+00      1.670866e-02
           9      7.569330e+00      7.583230e+00      1.494221e-02
          10      7.589957e+00      7.583903e+00      1.346313e-02
          11      7.635103e+00      7.588557e+00      1.301898e-02
          12      7.629579e+00      7.591976e+00      1.237474e-02
          13      7.637851e+00      7.595505e+00      1.191538e-02
          14      7.597378e+00      7.595639e+00      1.106503e-02
          15      7.536887e+00      7.591722e+00      1.099877e-02
          16      7.574898e+00      7.590670e+00      1.036149e-02
          17      7.717658e+00      7.598140e+00      1.214980e-02
          18      7.564647e+00      7.596279e+00      1.161642e-02
          19      7.536920e+00      7.593155e+00      1.141742e-02
          20      7.584840e+00      7.592739e+00      1.085412e-02
