#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      8.000000e-01      8.000000e-01      0.000000e+00
           2      8.000000e-01      8.000000e-01      0.000000e+00
           3      8.000000e-01      8.000000e-01      0.000000e+00
           4      8.000000e-01      8.000000e-01      0.000000e+00
           5      8.000000e-01      8.000000e-01      0.000000e+00
           6      8.000000e-01      8.000000e-01      0.000000e+00
           7      8.000000e-01      8.000000e-01      6.897897e-09
           8      8.000000e-01      8.000000e-01      5.268356e-09
           9      8.000000e-01      8.000000e-01      4.967054e-09
          10      8.000000e-01      8.000000e-01      3.332001e-09
          11      8.000000e-01      8.000000e-01      3.176938e-09
          12      8.000000e-01      8.000000e-01      3.041687e-09
          13      8.000000e-01      8.000000e-01      4.132839e-09
          14      8.000000e-01      8.000000e-01      3.982503e-09
          15      8.000000e-01      8.000000e-01      4.712161e-09
          16      8.000000e-01      8.000000e-01      4.562530e-09
          17      8.000000e-01      8.000000e-01      4.426304e-09
          18      8.000000e-01      8.000000e-01      4.301595e-09
          19      8.000000e-01      8.000000e-01      5.405219e-09
          20      8.000000e-01      8.000000e-01      5.268356e-09
