#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -6.354829e+00     -6.354829e+00      0.000000e+00
           2     -6.340239e+00     -6.347534e+00      5.158507e-03
           3     -6.353364e+00     -6.349477e+00      3.787365e-03
           4     -6.345533e+00     -6.348491e+00      2.966129e-03
           5     -6.365877e+00     -6.351968e+00      3.911874e-03
           6     -6.346286e+00     -6.351021e+00      3.372598e-03
           7     -6.339164e+00     -6.349327e+00      3.288746e-03
           8     -6.341108e+00     -6.348300e+00      3.033909e-03
           9     -6.351081e+00     -6.348609e+00      2.712497e-03
          10     -6.346773e+00     -6.348425e+00      2.447451e-03
          11     -6.338796e+00     -6.347550e+00      2.376364e-03
          12     -6.339925e+00     -6.346914e+00      2.261692e-03
          13     -6.338117e+00     -6.346238e+00      2.186617e-03
          14     -6.346344e+00     -6.346245e+00      2.030444e-03
          15     -6.356977e+00     -6.346961e+00      2.017187e-03
          16     -6.350347e+00     -6.347172e+00      1.902186e-03
          17     -6.323633e+00     -6.345788e+00      2.238223e-03
          18     -6.351611e+00     -6.346111e+00      2.137132e-03
          19     -6.356430e+00     -6.346654e+00      2.092514e-03
          20     -6.347889e+00     -6.346716e+00      1.988798e-03
